Species,dnds,Gene,Mutualist,Pair,Transition
Azorhizobium_caulinodans,0.0395624,OG0001751,M,c,gain
Microvirga_vignae,0.0141264,OG0001751,M,d,gain
Microvirga_subterranea,0.0101799,OG0001751,F,d,gain
Rhizobium_gallicum,0.0129948,OG0001751,M,f,loss
Rhizobium_tubonense,0.015168,OG0001751,F,f,loss
Sinorhizobium_M4_45,1e-4,OG0001751,F,a,loss
Sinorhizobium_meliloti,0.0173016,OG0001751,M,a,loss
Mesorhizobium_temperatum,0.0179288,OG0001751,M,e,loss
Bradyrhizobium_oligotrophicum,0.0427935,OG0001751,F,b,loss
Bradyrhizobium_icense,0.0640621,OG0001751,M,b,loss
Paraburkholderia_caribensis,0.00433088,OG0001751,F,h,gain
Cupriavidus_alkaliphilus,2.42184,OG0001760,F,g,gain
Cupriavidus_taiwanensis,0.0740017,OG0001760,M,g,gain
Bradyrhizobium_oligotrophicum,0.0404966,OG0001760,F,b,loss
Mesorhizobium_oceanicum,0.0373817,OG0001760,F,e,loss
Xanthobacter_autotrophicus,0.142963,OG0001760,F,c,gain
Azorhizobium_caulinodans,0.057444,OG0001760,M,c,gain
Mesorhizobium_temperatum,0.0507415,OG0001760,M,e,loss
Microvirga_vignae,0.0779068,OG0001760,M,d,gain
Bradyrhizobium_icense,0.0739301,OG0001760,M,b,loss
Rhizobium_gallicum,0.00778433,OG0001760,M,f,loss
Rhizobium_tubonense,0.0196009,OG0001760,F,f,loss
Sinorhizobium_M4_45,0.163115,OG0001760,F,a,loss
Sinorhizobium_meliloti,0.496511,OG0001760,M,a,loss
Paraburkholderia_diazotrophica,0.0185833,OG0001760,M,h,gain
Paraburkholderia_caribensis,8.47104,OG0001760,F,h,gain
Paraburkholderia_diazotrophica,0.0651017,OG0001761,M,h,gain
Cupriavidus_alkaliphilus,0.0163387,OG0001761,F,g,gain
Cupriavidus_taiwanensis,999,OG0001761,M,g,gain
Microvirga_vignae,0.0340403,OG0001761,M,d,gain
Bradyrhizobium_oligotrophicum,0.0510357,OG0001761,F,b,loss
Mesorhizobium_oceanicum,0.0817313,OG0001761,F,e,loss
Azorhizobium_caulinodans,0.0387339,OG0001761,M,c,gain
Xanthobacter_autotrophicus,0.0531733,OG0001761,F,c,gain
Sinorhizobium_meliloti,1e-4,OG0001761,M,a,loss
Sinorhizobium_M4_45,411.701,OG0001761,F,a,loss
Rhizobium_tubonense,0.0132476,OG0001761,F,f,loss
Rhizobium_gallicum,0.0449872,OG0001761,M,f,loss
Mesorhizobium_temperatum,0.045895,OG0001761,M,e,loss
Bradyrhizobium_icense,0.0676174,OG0001761,M,b,loss
Paraburkholderia_caribensis,0.0528715,OG0001761,F,h,gain
Bradyrhizobium_icense,0.0997088,OG0001762,M,b,loss
Xanthobacter_autotrophicus,0.0356269,OG0001762,F,c,gain
Azorhizobium_caulinodans,0.0399621,OG0001762,M,c,gain
Microvirga_vignae,0.0714587,OG0001762,M,d,gain
Bradyrhizobium_oligotrophicum,0.0611027,OG0001762,F,b,loss
Mesorhizobium_temperatum,0.0443606,OG0001762,M,e,loss
Mesorhizobium_oceanicum,0.0320101,OG0001762,F,e,loss
Rhizobium_gallicum,0.0304886,OG0001762,M,f,loss
Rhizobium_tubonense,0.0267423,OG0001762,F,f,loss
Sinorhizobium_M4_45,999,OG0001762,F,a,loss
Sinorhizobium_meliloti,1e-4,OG0001762,M,a,loss
Cupriavidus_alkaliphilus,0.12436,OG0001762,F,g,gain
Cupriavidus_taiwanensis,0.105812,OG0001762,M,g,gain
Paraburkholderia_diazotrophica,0.0261396,OG0001762,M,h,gain
Paraburkholderia_caribensis,0.862318,OG0001762,F,h,gain
Mesorhizobium_oceanicum,0.0238143,OG0001764,F,e,loss
Mesorhizobium_temperatum,0.0490975,OG0001764,M,e,loss
Sinorhizobium_meliloti,1e-4,OG0001764,M,a,loss
Sinorhizobium_M4_45,0.013634,OG0001764,F,a,loss
Rhizobium_gallicum,0.0304059,OG0001764,M,f,loss
Cupriavidus_alkaliphilus,0.0086885,OG0001764,F,g,gain
Cupriavidus_taiwanensis,0.00337964,OG0001764,M,g,gain
Paraburkholderia_diazotrophica,0.0189622,OG0001764,M,h,gain
Paraburkholderia_caribensis,0.0300381,OG0001764,F,h,gain
Xanthobacter_autotrophicus,0.0431638,OG0001764,F,c,gain
Azorhizobium_caulinodans,0.0605341,OG0001764,M,c,gain
Bradyrhizobium_oligotrophicum,0.0375982,OG0001764,F,b,loss
Bradyrhizobium_icense,0.0503705,OG0001764,M,b,loss
Microvirga_subterranea,0.0177189,OG0001764,F,d,gain
Microvirga_vignae,0.0491087,OG0001764,M,d,gain
Azorhizobium_caulinodans,0.0296764,OG0001766,M,c,gain
Xanthobacter_autotrophicus,0.0458588,OG0001766,F,c,gain
Microvirga_subterranea,0.0484124,OG0001766,F,d,gain
Microvirga_vignae,0.0698159,OG0001766,M,d,gain
Mesorhizobium_oceanicum,0.0853423,OG0001766,F,e,loss
Sinorhizobium_meliloti,999,OG0001766,M,a,loss
Sinorhizobium_M4_45,0.0523255,OG0001766,F,a,loss
Rhizobium_gallicum,0.0631726,OG0001766,M,f,loss
Rhizobium_tubonense,0.0215011,OG0001766,F,f,loss
Mesorhizobium_temperatum,0.0526089,OG0001766,M,e,loss
Bradyrhizobium_icense,0.0729631,OG0001766,M,b,loss
Cupriavidus_alkaliphilus,0.0424159,OG0001766,F,g,gain
Cupriavidus_taiwanensis,248.632,OG0001766,M,g,gain
Paraburkholderia_diazotrophica,0.0442418,OG0001766,M,h,gain
Paraburkholderia_caribensis,26.8239,OG0001766,F,h,gain
Xanthobacter_autotrophicus,0.0289131,OG0001767,F,c,gain
Rhizobium_tubonense,0.0774069,OG0001767,F,f,loss
Rhizobium_gallicum,0.0176139,OG0001767,M,f,loss
Sinorhizobium_M4_45,1e-4,OG0001767,F,a,loss
Sinorhizobium_meliloti,1e-4,OG0001767,M,a,loss
Mesorhizobium_temperatum,0.055088,OG0001767,M,e,loss
Mesorhizobium_oceanicum,0.0864512,OG0001767,F,e,loss
Cupriavidus_alkaliphilus,0.00834404,OG0001767,F,g,gain
Cupriavidus_taiwanensis,0.0674723,OG0001767,M,g,gain
Paraburkholderia_caribensis,0.0389847,OG0001767,F,h,gain
Microvirga_vignae,0.024639,OG0001767,M,d,gain
Microvirga_subterranea,0.0678159,OG0001767,F,d,gain
Bradyrhizobium_oligotrophicum,0.0887777,OG0001767,F,b,loss
Bradyrhizobium_icense,0.0212614,OG0001767,M,b,loss
Azorhizobium_caulinodans,0.0610219,OG0001767,M,c,gain
Rhizobium_tubonense,0.0261784,OG0001771,F,f,loss
Rhizobium_gallicum,0.071639,OG0001771,M,f,loss
Sinorhizobium_meliloti,1e-4,OG0001771,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0001771,F,a,loss
Mesorhizobium_temperatum,0.10791100000000001,OG0001771,M,e,loss
Azorhizobium_caulinodans,0.0373633,OG0001771,M,c,gain
Xanthobacter_autotrophicus,0.0656646,OG0001771,F,c,gain
Bradyrhizobium_icense,0.0152063,OG0001771,M,b,loss
Bradyrhizobium_oligotrophicum,0.0349296,OG0001771,F,b,loss
Microvirga_vignae,0.0127772,OG0001771,M,d,gain
Microvirga_subterranea,0.0214594,OG0001771,F,d,gain
Cupriavidus_alkaliphilus,1e-4,OG0001771,F,g,gain
Cupriavidus_taiwanensis,1e-4,OG0001771,M,g,gain
Paraburkholderia_diazotrophica,0.390945,OG0001771,M,h,gain
Paraburkholderia_caribensis,1e-4,OG0001771,F,h,gain
Microvirga_subterranea,0.0109419,OG0001772,F,d,gain
Microvirga_vignae,999,OG0001772,M,d,gain
Xanthobacter_autotrophicus,0.0643726,OG0001772,F,c,gain
Azorhizobium_caulinodans,0.0964853,OG0001772,M,c,gain
Bradyrhizobium_oligotrophicum,0.0226921,OG0001772,F,b,loss
Bradyrhizobium_icense,0.03531,OG0001772,M,b,loss
Sinorhizobium_meliloti,1e-4,OG0001772,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0001772,F,a,loss
Rhizobium_gallicum,0.0657974,OG0001772,M,f,loss
Rhizobium_tubonense,0.151152,OG0001772,F,f,loss
Mesorhizobium_temperatum,0.0601319,OG0001772,M,e,loss
Cupriavidus_alkaliphilus,1e-4,OG0001772,F,g,gain
Cupriavidus_taiwanensis,1e-4,OG0001772,M,g,gain
Paraburkholderia_diazotrophica,0.011899,OG0001772,M,h,gain
Paraburkholderia_caribensis,0.214458,OG0001772,F,h,gain
Paraburkholderia_diazotrophica,0.0800069,OG0001773,M,h,gain
Paraburkholderia_caribensis,0.0297331,OG0001773,F,h,gain
Cupriavidus_alkaliphilus,0.0501652,OG0001773,F,g,gain
Cupriavidus_taiwanensis,1e-4,OG0001773,M,g,gain
Mesorhizobium_oceanicum,0.0252657,OG0001773,F,e,loss
Mesorhizobium_temperatum,0.0132595,OG0001773,M,e,loss
Bradyrhizobium_icense,0.0426024,OG0001773,M,b,loss
Bradyrhizobium_oligotrophicum,0.0729702,OG0001773,F,b,loss
Rhizobium_gallicum,0.0181943,OG0001773,M,f,loss
Rhizobium_tubonense,0.0423847,OG0001773,F,f,loss
Sinorhizobium_M4_45,1e-4,OG0001773,F,a,loss
Sinorhizobium_meliloti,1e-4,OG0001773,M,a,loss
Microvirga_subterranea,0.0338133,OG0001773,F,d,gain
Microvirga_vignae,0.0322539,OG0001773,M,d,gain
Azorhizobium_caulinodans,0.00666556,OG0001773,M,c,gain
Paraburkholderia_diazotrophica,0.0563785,OG0001776,M,h,gain
Cupriavidus_alkaliphilus,999,OG0001776,F,g,gain
Cupriavidus_taiwanensis,0.053654,OG0001776,M,g,gain
Mesorhizobium_temperatum,0.0472228,OG0001776,M,e,loss
Mesorhizobium_oceanicum,0.0294656,OG0001776,F,e,loss
Sinorhizobium_meliloti,999,OG0001776,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0001776,F,a,loss
Rhizobium_gallicum,0.103498,OG0001776,M,f,loss
Microvirga_subterranea,0.0127248,OG0001776,F,d,gain
Microvirga_vignae,1e-4,OG0001776,M,d,gain
Azorhizobium_caulinodans,0.0787457,OG0001776,M,c,gain
Xanthobacter_autotrophicus,0.0595351,OG0001776,F,c,gain
Bradyrhizobium_icense,0.0519911,OG0001776,M,b,loss
Bradyrhizobium_oligotrophicum,0.0445024,OG0001776,F,b,loss
Paraburkholderia_caribensis,0.404448,OG0001776,F,h,gain
Paraburkholderia_diazotrophica,0.145894,OG0001777,M,h,gain
Cupriavidus_alkaliphilus,335.289,OG0001777,F,g,gain
Cupriavidus_taiwanensis,0.0328697,OG0001777,M,g,gain
Xanthobacter_autotrophicus,0.0438542,OG0001777,F,c,gain
Azorhizobium_caulinodans,0.043971,OG0001777,M,c,gain
Bradyrhizobium_oligotrophicum,0.0138565,OG0001777,F,b,loss
Bradyrhizobium_icense,0.0231318,OG0001777,M,b,loss
Rhizobium_gallicum,0.00147097,OG0001777,M,f,loss
Rhizobium_tubonense,0.00212799,OG0001777,F,f,loss
Sinorhizobium_M4_45,0.128191,OG0001777,F,a,loss
Sinorhizobium_meliloti,994.047,OG0001777,M,a,loss
Mesorhizobium_temperatum,0.045695,OG0001777,M,e,loss
Mesorhizobium_oceanicum,0.0383402,OG0001777,F,e,loss
Microvirga_subterranea,0.00277822,OG0001777,F,d,gain
Paraburkholderia_caribensis,0.0223163,OG0001777,F,h,gain
Paraburkholderia_diazotrophica,1e-4,OG0001780,M,h,gain
Cupriavidus_alkaliphilus,999,OG0001780,F,g,gain
Cupriavidus_taiwanensis,1e-4,OG0001780,M,g,gain
Rhizobium_gallicum,0.0449845,OG0001780,M,f,loss
Rhizobium_tubonense,0.0660909,OG0001780,F,f,loss
Sinorhizobium_meliloti,161.689,OG0001780,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0001780,F,a,loss
Mesorhizobium_temperatum,0.0825976,OG0001780,M,e,loss
Bradyrhizobium_oligotrophicum,0.0260422,OG0001780,F,b,loss
Bradyrhizobium_icense,0.057294200000000003,OG0001780,M,b,loss
Microvirga_vignae,0.0129382,OG0001780,M,d,gain
Microvirga_subterranea,0.0369047,OG0001780,F,d,gain
Azorhizobium_caulinodans,0.00884012,OG0001780,M,c,gain
Xanthobacter_autotrophicus,0.0849083,OG0001780,F,c,gain
Paraburkholderia_caribensis,0.00352878,OG0001780,F,h,gain
Paraburkholderia_diazotrophica,0.0175243,OG0001783,M,h,gain
Cupriavidus_alkaliphilus,0.0100694,OG0001783,F,g,gain
Cupriavidus_taiwanensis,1e-4,OG0001783,M,g,gain
Rhizobium_gallicum,0.0161072,OG0001783,M,f,loss
Rhizobium_tubonense,0.0271751,OG0001783,F,f,loss
Sinorhizobium_meliloti,1e-4,OG0001783,M,a,loss
Sinorhizobium_M4_45,4.94249,OG0001783,F,a,loss
Mesorhizobium_oceanicum,0.0293997,OG0001783,F,e,loss
Xanthobacter_autotrophicus,0.0331369,OG0001783,F,c,gain
Azorhizobium_caulinodans,0.0361258,OG0001783,M,c,gain
Microvirga_subterranea,0.0225123,OG0001783,F,d,gain
Microvirga_vignae,0.00689024,OG0001783,M,d,gain
Bradyrhizobium_oligotrophicum,0.0373626,OG0001783,F,b,loss
Bradyrhizobium_icense,0.0156765,OG0001783,M,b,loss
Paraburkholderia_caribensis,0.0154049,OG0001783,F,h,gain
Paraburkholderia_diazotrophica,0.00363961,OG0001794,M,h,gain
Cupriavidus_alkaliphilus,0.0136688,OG0001794,F,g,gain
Cupriavidus_taiwanensis,216.08,OG0001794,M,g,gain
Rhizobium_tubonense,217.893,OG0001794,F,f,loss
Rhizobium_gallicum,0.0732943,OG0001794,M,f,loss
Sinorhizobium_M4_45,1e-4,OG0001794,F,a,loss
Sinorhizobium_meliloti,999,OG0001794,M,a,loss
Mesorhizobium_temperatum,0.020685,OG0001794,M,e,loss
Mesorhizobium_oceanicum,0.0591946,OG0001794,F,e,loss
Microvirga_vignae,0.100984,OG0001794,M,d,gain
Microvirga_subterranea,0.0506893,OG0001794,F,d,gain
Bradyrhizobium_oligotrophicum,0.0461672,OG0001794,F,b,loss
Xanthobacter_autotrophicus,0.0299896,OG0001794,F,c,gain
Azorhizobium_caulinodans,0.0161942,OG0001794,M,c,gain
Paraburkholderia_caribensis,507.686,OG0001794,F,h,gain
Microvirga_vignae,0.0520965,OG0001795,M,d,gain
Microvirga_subterranea,0.0449001,OG0001795,F,d,gain
Bradyrhizobium_oligotrophicum,0.103114,OG0001795,F,b,loss
Xanthobacter_autotrophicus,0.0395117,OG0001795,F,c,gain
Azorhizobium_caulinodans,0.0527129,OG0001795,M,c,gain
Mesorhizobium_oceanicum,0.0503379,OG0001795,F,e,loss
Mesorhizobium_temperatum,0.0529634,OG0001795,M,e,loss
Rhizobium_gallicum,0.0485638,OG0001795,M,f,loss
Rhizobium_tubonense,0.0402763,OG0001795,F,f,loss
Sinorhizobium_M4_45,0.205351,OG0001795,F,a,loss
Sinorhizobium_meliloti,0.00161788,OG0001795,M,a,loss
Cupriavidus_alkaliphilus,0.060763,OG0001795,F,g,gain
Cupriavidus_taiwanensis,0.0819304,OG0001795,M,g,gain
Paraburkholderia_diazotrophica,0.0726363,OG0001795,M,h,gain
Paraburkholderia_caribensis,0.0827242,OG0001795,F,h,gain
Paraburkholderia_diazotrophica,0.0827514,OG0001797,M,h,gain
Cupriavidus_alkaliphilus,0.0148704,OG0001797,F,g,gain
Cupriavidus_taiwanensis,148.114,OG0001797,M,g,gain
Rhizobium_tubonense,0.0376465,OG0001797,F,f,loss
Rhizobium_gallicum,0.0457754,OG0001797,M,f,loss
Mesorhizobium_temperatum,0.0643592,OG0001797,M,e,loss
Mesorhizobium_oceanicum,0.0249033,OG0001797,F,e,loss
Sinorhizobium_M4_45,1e-4,OG0001797,F,a,loss
Sinorhizobium_meliloti,1e-4,OG0001797,M,a,loss
Microvirga_vignae,0.00334898,OG0001797,M,d,gain
Microvirga_subterranea,0.00292329,OG0001797,F,d,gain
Azorhizobium_caulinodans,0.0759002,OG0001797,M,c,gain
Bradyrhizobium_oligotrophicum,0.0551276,OG0001797,F,b,loss
Bradyrhizobium_icense,0.0563157,OG0001797,M,b,loss
Paraburkholderia_caribensis,0.0562323,OG0001797,F,h,gain
Cupriavidus_taiwanensis,0.00847485,OG0001798,M,g,gain
Cupriavidus_alkaliphilus,1e-4,OG0001798,F,g,gain
Mesorhizobium_oceanicum,0.0625219,OG0001798,F,e,loss
Sinorhizobium_meliloti,0.0158682,OG0001798,M,a,loss
Sinorhizobium_M4_45,0.438469,OG0001798,F,a,loss
Rhizobium_gallicum,0.0348399,OG0001798,M,f,loss
Rhizobium_tubonense,0.0423443,OG0001798,F,f,loss
Mesorhizobium_temperatum,0.0317572,OG0001798,M,e,loss
