Code,dnds,Gene,Species,Mutualist,Pair,Transition
Senna_italica,0.274295,OG0019849,Senna_italica,M,e,gain
Senna_didymobotrya,0.274295,OG0019849,Senna_didymobotrya,F,e,gain
Senna_occidentalis,0.274295,OG0019849,Senna_occidentalis,F,d,gain
Senna_barclayana,0.116486,OG0019849,Senna_barclayana,M,d,gain
Dalea_mollis1,0.116486,OG0019849,Dalea_mollis,F,b,loss
Dalea_mollissima,0.116486,OG0019849,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.116486,OG0019849,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.116486,OG0019849,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.116486,OG0019849,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.116486,OG0019849,Calliandra_humilis,F,c,loss
Peltophorum_africanum,0.274295,OG0019849,Peltophorum_africanum,M,f,gain
Dalea_mollis1,0.279616,OG0019850,Dalea_mollis,F,b,loss
Senna_barclayana,0.279616,OG0019850,Senna_barclayana,M,d,gain
Senna_occidentalis,0.232346,OG0019850,Senna_occidentalis,F,d,gain
Senna_didymobotrya,0.232346,OG0019850,Senna_didymobotrya,F,e,gain
Senna_italica,0.232346,OG0019850,Senna_italica,M,e,gain
Calliandra_eriophylla,0.279616,OG0019850,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.279616,OG0019850,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.279616,OG0019850,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.279616,OG0019850,Mimosa_grahamii,F,a,loss
Peltophorum_africanum,0.232346,OG0019850,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.232346,OG0019850,Peltophorum_dubium,F,f,gain
Dalea_mollissima,0.279616,OG0019850,Dalea_mollissima,M,b,loss
Senna_italica,0.0804912,OG0019851,Senna_italica,M,e,gain
Senna_barclayana,0.0535042,OG0019851,Senna_barclayana,M,d,gain
Senna_occidentalis,0.0804912,OG0019851,Senna_occidentalis,F,d,gain
Mimosa_grahamii,0.0535042,OG0019851,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.0535042,OG0019851,Mimosa_aculeaticarpa,M,a,loss
Calliandra_eriophylla,0.0535042,OG0019851,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.0535042,OG0019851,Calliandra_humilis,F,c,loss
Peltophorum_dubium,0.0804912,OG0019851,Peltophorum_dubium,F,f,gain
Peltophorum_africanum,0.0804912,OG0019851,Peltophorum_africanum,M,f,gain
Dalea_mollis1,0.0535042,OG0019851,Dalea_mollis,F,b,loss
Dalea_mollissima,0.0535042,OG0019851,Dalea_mollissima,M,b,loss
Senna_didymobotrya,0.0804912,OG0019851,Senna_didymobotrya,F,e,gain
Dalea_mollis1,0.121106,OG0019854,Dalea_mollis,F,b,loss
Senna_barclayana,0.121106,OG0019854,Senna_barclayana,M,d,gain
Senna_occidentalis,0.107061,OG0019854,Senna_occidentalis,F,d,gain
Senna_didymobotrya,0.107061,OG0019854,Senna_didymobotrya,F,e,gain
Senna_italica,0.107061,OG0019854,Senna_italica,M,e,gain
Calliandra_eriophylla,0.121106,OG0019854,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.121106,OG0019854,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.121106,OG0019854,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.121106,OG0019854,Mimosa_grahamii,F,a,loss
Peltophorum_africanum,0.107061,OG0019854,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.107061,OG0019854,Peltophorum_dubium,F,f,gain
Dalea_mollissima,0.121106,OG0019854,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.1381,OG0019855,Dalea_mollis,F,b,loss
Peltophorum_africanum,0.198764,OG0019855,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.198764,OG0019855,Peltophorum_dubium,F,f,gain
Calliandra_eriophylla,0.1381,OG0019855,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.1381,OG0019855,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.1381,OG0019855,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.1381,OG0019855,Mimosa_grahamii,F,a,loss
Senna_didymobotrya,0.198764,OG0019855,Senna_didymobotrya,F,e,gain
Senna_italica,0.198764,OG0019855,Senna_italica,M,e,gain
Senna_barclayana,0.1381,OG0019855,Senna_barclayana,M,d,gain
Senna_occidentalis,0.198764,OG0019855,Senna_occidentalis,F,d,gain
Dalea_mollissima,0.1381,OG0019855,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.141292,OG0019856,Dalea_mollis,F,b,loss
Senna_didymobotrya,0.201055,OG0019856,Senna_didymobotrya,F,e,gain
Senna_italica,0.201055,OG0019856,Senna_italica,M,e,gain
Senna_barclayana,0.141292,OG0019856,Senna_barclayana,M,d,gain
Senna_occidentalis,0.201055,OG0019856,Senna_occidentalis,F,d,gain
Peltophorum_africanum,0.201055,OG0019856,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.201055,OG0019856,Peltophorum_dubium,F,f,gain
Calliandra_eriophylla,0.141292,OG0019856,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.141292,OG0019856,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.141292,OG0019856,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.141292,OG0019856,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.141292,OG0019856,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.171989,OG0019857,Dalea_mollis,F,b,loss
Peltophorum_africanum,0.291935,OG0019857,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.291935,OG0019857,Peltophorum_dubium,F,f,gain
Senna_barclayana,0.171989,OG0019857,Senna_barclayana,M,d,gain
Senna_occidentalis,0.291935,OG0019857,Senna_occidentalis,F,d,gain
Senna_didymobotrya,0.291935,OG0019857,Senna_didymobotrya,F,e,gain
Senna_italica,0.291935,OG0019857,Senna_italica,M,e,gain
Calliandra_eriophylla,0.171989,OG0019857,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.171989,OG0019857,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.171989,OG0019857,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.171989,OG0019857,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.171989,OG0019857,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.0738155,OG0019859,Dalea_mollis,F,b,loss
Senna_didymobotrya,0.0857962,OG0019859,Senna_didymobotrya,F,e,gain
Senna_italica,0.0857962,OG0019859,Senna_italica,M,e,gain
Senna_barclayana,0.0738155,OG0019859,Senna_barclayana,M,d,gain
Senna_occidentalis,0.0857962,OG0019859,Senna_occidentalis,F,d,gain
Peltophorum_africanum,0.0857962,OG0019859,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.0857962,OG0019859,Peltophorum_dubium,F,f,gain
Calliandra_eriophylla,0.0738155,OG0019859,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.0738155,OG0019859,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.0738155,OG0019859,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.0738155,OG0019859,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.0738155,OG0019859,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.227049,OG0019867,Dalea_mollis,F,b,loss
Peltophorum_africanum,0.189809,OG0019867,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.189809,OG0019867,Peltophorum_dubium,F,f,gain
Calliandra_eriophylla,0.227049,OG0019867,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.227049,OG0019867,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.227049,OG0019867,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.227049,OG0019867,Mimosa_grahamii,F,a,loss
Senna_barclayana,0.227049,OG0019867,Senna_barclayana,M,d,gain
Senna_occidentalis,0.189809,OG0019867,Senna_occidentalis,F,d,gain
Senna_didymobotrya,0.189809,OG0019867,Senna_didymobotrya,F,e,gain
Senna_italica,0.189809,OG0019867,Senna_italica,M,e,gain
Dalea_mollissima,0.227049,OG0019867,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.114354,OG0019871,Dalea_mollis,F,b,loss
Peltophorum_africanum,0.11497,OG0019871,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.11497,OG0019871,Peltophorum_dubium,F,f,gain
Calliandra_humilis,0.114354,OG0019871,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.114354,OG0019871,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.114354,OG0019871,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.114354,OG0019871,Mimosa_grahamii,F,a,loss
Senna_barclayana,0.114354,OG0019871,Senna_barclayana,M,d,gain
Senna_occidentalis,0.11497,OG0019871,Senna_occidentalis,F,d,gain
Senna_didymobotrya,0.11497,OG0019871,Senna_didymobotrya,F,e,gain
Senna_italica,0.11497,OG0019871,Senna_italica,M,e,gain
Dalea_mollissima,0.114354,OG0019871,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.212234,OG0019876,Dalea_mollis,F,b,loss
Senna_barclayana,0.212234,OG0019876,Senna_barclayana,M,d,gain
Senna_occidentalis,0.354259,OG0019876,Senna_occidentalis,F,d,gain
Senna_italica,0.354259,OG0019876,Senna_italica,M,e,gain
Senna_didymobotrya,0.354259,OG0019876,Senna_didymobotrya,F,e,gain
Peltophorum_africanum,0.354259,OG0019876,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.354259,OG0019876,Peltophorum_dubium,F,f,gain
Calliandra_eriophylla,0.212234,OG0019876,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.212234,OG0019876,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.212234,OG0019876,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.212234,OG0019876,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.212234,OG0019876,Dalea_mollissima,M,b,loss
Peltophorum_dubium,0.288044,OG0019877,Peltophorum_dubium,F,f,gain
Calliandra_humilis,0.173922,OG0019877,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.173922,OG0019877,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.173922,OG0019877,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.173922,OG0019877,Mimosa_grahamii,F,a,loss
Senna_italica,0.288044,OG0019877,Senna_italica,M,e,gain
Senna_didymobotrya,0.288044,OG0019877,Senna_didymobotrya,F,e,gain
Senna_barclayana,0.173922,OG0019877,Senna_barclayana,M,d,gain
Senna_occidentalis,0.288044,OG0019877,Senna_occidentalis,F,d,gain
Dalea_mollis1,0.173922,OG0019877,Dalea_mollis,F,b,loss
Dalea_mollissima,0.173922,OG0019877,Dalea_mollissima,M,b,loss
Peltophorum_africanum,0.288044,OG0019877,Peltophorum_africanum,M,f,gain
Dalea_mollis1,0.145691,OG0019878,Dalea_mollis,F,b,loss
Senna_barclayana,0.145691,OG0019878,Senna_barclayana,M,d,gain
Senna_occidentalis,0.134129,OG0019878,Senna_occidentalis,F,d,gain
Senna_didymobotrya,0.134129,OG0019878,Senna_didymobotrya,F,e,gain
Senna_italica,0.134129,OG0019878,Senna_italica,M,e,gain
Calliandra_eriophylla,0.145691,OG0019878,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.145691,OG0019878,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.145691,OG0019878,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.145691,OG0019878,Mimosa_grahamii,F,a,loss
Peltophorum_africanum,0.134129,OG0019878,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.134129,OG0019878,Peltophorum_dubium,F,f,gain
Dalea_mollissima,0.145691,OG0019878,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.18637599999999999,OG0019887,Dalea_mollis,F,b,loss
Senna_barclayana,0.18637599999999999,OG0019887,Senna_barclayana,M,d,gain
Senna_occidentalis,0.459189,OG0019887,Senna_occidentalis,F,d,gain
Senna_didymobotrya,0.459189,OG0019887,Senna_didymobotrya,F,e,gain
Senna_italica,0.459189,OG0019887,Senna_italica,M,e,gain
Peltophorum_africanum,0.459189,OG0019887,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.459189,OG0019887,Peltophorum_dubium,F,f,gain
Calliandra_eriophylla,0.18637599999999999,OG0019887,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.18637599999999999,OG0019887,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.18637599999999999,OG0019887,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.18637599999999999,OG0019887,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.18637599999999999,OG0019887,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.17288799999999999,OG0019888,Dalea_mollis,F,b,loss
Calliandra_eriophylla,0.17288799999999999,OG0019888,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.17288799999999999,OG0019888,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.17288799999999999,OG0019888,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.17288799999999999,OG0019888,Mimosa_grahamii,F,a,loss
Peltophorum_africanum,0.217563,OG0019888,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.217563,OG0019888,Peltophorum_dubium,F,f,gain
Senna_barclayana,0.17288799999999999,OG0019888,Senna_barclayana,M,d,gain
Senna_occidentalis,0.217563,OG0019888,Senna_occidentalis,F,d,gain
Senna_didymobotrya,0.217563,OG0019888,Senna_didymobotrya,F,e,gain
Senna_italica,0.217563,OG0019888,Senna_italica,M,e,gain
Dalea_mollissima,0.17288799999999999,OG0019888,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.133874,OG0019894,Dalea_mollis,F,b,loss
Peltophorum_africanum,0.186382,OG0019894,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.186382,OG0019894,Peltophorum_dubium,F,f,gain
Calliandra_eriophylla,0.133874,OG0019894,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.133874,OG0019894,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.133874,OG0019894,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.133874,OG0019894,Mimosa_grahamii,F,a,loss
Senna_didymobotrya,0.186382,OG0019894,Senna_didymobotrya,F,e,gain
Senna_italica,0.186382,OG0019894,Senna_italica,M,e,gain
Senna_barclayana,0.133874,OG0019894,Senna_barclayana,M,d,gain
Senna_occidentalis,0.186382,OG0019894,Senna_occidentalis,F,d,gain
Dalea_mollissima,0.133874,OG0019894,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.0689473,OG0019897,Dalea_mollis,F,b,loss
Peltophorum_africanum,0.183077,OG0019897,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.183077,OG0019897,Peltophorum_dubium,F,f,gain
Mimosa_aculeaticarpa,0.0689473,OG0019897,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.0689473,OG0019897,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.0689473,OG0019897,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.0689473,OG0019897,Calliandra_humilis,F,c,loss
Senna_didymobotrya,0.183077,OG0019897,Senna_didymobotrya,F,e,gain
Senna_italica,0.183077,OG0019897,Senna_italica,M,e,gain
Senna_barclayana,0.0689473,OG0019897,Senna_barclayana,M,d,gain
Senna_occidentalis,0.183077,OG0019897,Senna_occidentalis,F,d,gain
Dalea_mollissima,0.0689473,OG0019897,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.0883508,OG0019898,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.0883508,OG0019898,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.0883508,OG0019898,Mimosa_grahamii,F,a,loss
Senna_didymobotrya,0.132889,OG0019898,Senna_didymobotrya,F,e,gain
Senna_italica,0.132889,OG0019898,Senna_italica,M,e,gain
Senna_barclayana,0.0883508,OG0019898,Senna_barclayana,M,d,gain
Senna_occidentalis,0.132889,OG0019898,Senna_occidentalis,F,d,gain
Peltophorum_africanum,0.132889,OG0019898,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.132889,OG0019898,Peltophorum_dubium,F,f,gain
Dalea_mollis1,0.0883508,OG0019898,Dalea_mollis,F,b,loss
Dalea_mollissima,0.0883508,OG0019898,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.0883508,OG0019898,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.161195,OG0019902,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.161195,OG0019902,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.161195,OG0019902,Mimosa_grahamii,F,a,loss
Peltophorum_africanum,0.252162,OG0019902,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.252162,OG0019902,Peltophorum_dubium,F,f,gain
Dalea_mollis1,0.161195,OG0019902,Dalea_mollis,F,b,loss
Dalea_mollissima,0.161195,OG0019902,Dalea_mollissima,M,b,loss
Senna_barclayana,0.161195,OG0019902,Senna_barclayana,M,d,gain
Senna_occidentalis,0.252162,OG0019902,Senna_occidentalis,F,d,gain
Senna_didymobotrya,0.252162,OG0019902,Senna_didymobotrya,F,e,gain
Senna_italica,0.252162,OG0019902,Senna_italica,M,e,gain
Calliandra_humilis,0.161195,OG0019902,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.312889,OG0019903,Dalea_mollis,F,b,loss
Peltophorum_africanum,0.147073,OG0019903,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.147073,OG0019903,Peltophorum_dubium,F,f,gain
Mimosa_aculeaticarpa,0.312889,OG0019903,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.312889,OG0019903,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.312889,OG0019903,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.312889,OG0019903,Calliandra_humilis,F,c,loss
Senna_barclayana,0.312889,OG0019903,Senna_barclayana,M,d,gain
Senna_occidentalis,0.147073,OG0019903,Senna_occidentalis,F,d,gain
Senna_didymobotrya,0.147073,OG0019903,Senna_didymobotrya,F,e,gain
Senna_italica,0.147073,OG0019903,Senna_italica,M,e,gain
Dalea_mollissima,0.312889,OG0019903,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.151426,OG0019904,Dalea_mollis,F,b,loss
Peltophorum_africanum,0.147214,OG0019904,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.147214,OG0019904,Peltophorum_dubium,F,f,gain
Calliandra_eriophylla,0.151426,OG0019904,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.151426,OG0019904,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.151426,OG0019904,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.151426,OG0019904,Mimosa_grahamii,F,a,loss
Senna_didymobotrya,0.147214,OG0019904,Senna_didymobotrya,F,e,gain
Senna_italica,0.147214,OG0019904,Senna_italica,M,e,gain
Senna_barclayana,0.151426,OG0019904,Senna_barclayana,M,d,gain
Senna_occidentalis,0.147214,OG0019904,Senna_occidentalis,F,d,gain
Dalea_mollissima,0.151426,OG0019904,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.0431057,OG0019906,Calliandra_humilis,F,c,loss
Mimosa_grahamii,0.0431057,OG0019906,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.0431057,OG0019906,Mimosa_aculeaticarpa,M,a,loss
Senna_occidentalis,0.103178,OG0019906,Senna_occidentalis,F,d,gain
Senna_barclayana,0.0431057,OG0019906,Senna_barclayana,M,d,gain
Senna_didymobotrya,0.103178,OG0019906,Senna_didymobotrya,F,e,gain
Senna_italica,0.103178,OG0019906,Senna_italica,M,e,gain
Peltophorum_africanum,0.103178,OG0019906,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.103178,OG0019906,Peltophorum_dubium,F,f,gain
Dalea_mollis1,0.0431057,OG0019906,Dalea_mollis,F,b,loss
Dalea_mollissima,0.0431057,OG0019906,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.0431057,OG0019906,Calliandra_eriophylla,M,c,loss
Dalea_mollis1,0.0651384,OG0019909,Dalea_mollis,F,b,loss
Senna_barclayana,0.0651384,OG0019909,Senna_barclayana,M,d,gain
Senna_occidentalis,0.0898768,OG0019909,Senna_occidentalis,F,d,gain
Senna_didymobotrya,0.0898768,OG0019909,Senna_didymobotrya,F,e,gain
Senna_italica,0.0898768,OG0019909,Senna_italica,M,e,gain
