Code,dnds,Gene,Estimate,Species,Mutualist,Pair,Transition
Calliandra_eriophylla,0.108644,OG0019859,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.0506804,OG0019859,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.0506804,OG0019859,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.108644,OG0019859,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.108644,OG0019859,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.256149,OG0019867,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.256149,OG0019867,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.190536,OG0019867,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.190536,OG0019867,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.256149,OG0019867,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.190536,OG0019867,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.117797,OG0019871,loss,Dalea_mollis,F,b,loss
Mimosa_aculeaticarpa,0.105048,OG0019871,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.117797,OG0019871,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.105048,OG0019871,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.117797,OG0019871,loss,Calliandra_humilis,F,c,loss
Dalea_mollissima,0.105048,OG0019871,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.138738,OG0019876,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.138738,OG0019876,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.315756,OG0019876,loss,Calliandra_eriophylla,M,c,loss
Mimosa_grahamii,0.138738,OG0019876,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.315756,OG0019876,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollissima,0.315756,OG0019876,loss,Dalea_mollissima,M,b,loss
Mimosa_grahamii,0.60038,OG0019877,loss,Mimosa_grahamii,F,a,loss
Calliandra_humilis,0.60038,OG0019877,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.084038,OG0019877,loss,Calliandra_eriophylla,M,c,loss
Dalea_mollis1,0.60038,OG0019877,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.084038,OG0019877,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.084038,OG0019877,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.118056,OG0019878,loss,Dalea_mollis,F,b,loss
Mimosa_aculeaticarpa,0.195561,OG0019878,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.118056,OG0019878,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.195561,OG0019878,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.118056,OG0019878,loss,Calliandra_humilis,F,c,loss
Dalea_mollissima,0.195561,OG0019878,loss,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.200775,OG0019887,loss,Calliandra_humilis,F,c,loss
Mimosa_grahamii,0.200775,OG0019887,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.173477,OG0019887,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.200775,OG0019887,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.173477,OG0019887,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.173477,OG0019887,loss,Calliandra_eriophylla,M,c,loss
Dalea_mollis1,0.110404,OG0019888,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.110404,OG0019888,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.245522,OG0019888,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.245522,OG0019888,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.110404,OG0019888,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.245522,OG0019888,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.139972,OG0019894,loss,Dalea_mollis,F,b,loss
Mimosa_grahamii,0.139972,OG0019894,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.127855,OG0019894,loss,Mimosa_aculeaticarpa,M,a,loss
Calliandra_eriophylla,0.127855,OG0019894,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.139972,OG0019894,loss,Calliandra_humilis,F,c,loss
Dalea_mollissima,0.127855,OG0019894,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.0584529,OG0019897,loss,Dalea_mollis,F,b,loss
Mimosa_aculeaticarpa,0.0832088,OG0019897,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.0584529,OG0019897,loss,Mimosa_grahamii,F,a,loss
Calliandra_humilis,0.0584529,OG0019897,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.0832088,OG0019897,loss,Calliandra_eriophylla,M,c,loss
Dalea_mollissima,0.0832088,OG0019897,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.116425,OG0019898,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.116425,OG0019898,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.0427149,OG0019898,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.0427149,OG0019898,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.116425,OG0019898,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.0427149,OG0019898,loss,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.0958564,OG0019902,loss,Calliandra_humilis,F,c,loss
Mimosa_grahamii,0.0958564,OG0019902,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.220671,OG0019902,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.0958564,OG0019902,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.220671,OG0019902,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.220671,OG0019902,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.276371,OG0019903,loss,Calliandra_humilis,F,c,loss
Mimosa_grahamii,0.276371,OG0019903,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.27347900000000003,OG0019903,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.276371,OG0019903,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.27347900000000003,OG0019903,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.27347900000000003,OG0019903,loss,Calliandra_eriophylla,M,c,loss
Mimosa_grahamii,0.102275,OG0019904,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.209131,OG0019904,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.102275,OG0019904,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.102275,OG0019904,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.209131,OG0019904,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.209131,OG0019904,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.0886846,OG0019906,loss,Dalea_mollis,F,b,loss
Calliandra_eriophylla,0.0259734,OG0019906,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.0886846,OG0019906,loss,Calliandra_humilis,F,c,loss
Mimosa_grahamii,0.0886846,OG0019906,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.0259734,OG0019906,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollissima,0.0259734,OG0019906,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.0640615,OG0019909,loss,Dalea_mollis,F,b,loss
Calliandra_eriophylla,0.0606147,OG0019909,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.0640615,OG0019909,loss,Calliandra_humilis,F,c,loss
Mimosa_grahamii,0.0640615,OG0019909,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.0606147,OG0019909,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollissima,0.0606147,OG0019909,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.509244,OG0019913,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.509244,OG0019913,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.123064,OG0019913,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.123064,OG0019913,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.509244,OG0019913,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.123064,OG0019913,loss,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.168012,OG0019914,loss,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.288896,OG0019914,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.168012,OG0019914,loss,Mimosa_grahamii,F,a,loss
Dalea_mollis1,0.168012,OG0019914,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.288896,OG0019914,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.288896,OG0019914,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.390904,OG0019915,loss,Calliandra_humilis,F,c,loss
Mimosa_grahamii,0.390904,OG0019915,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.239361,OG0019915,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.390904,OG0019915,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.239361,OG0019915,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.239361,OG0019915,loss,Calliandra_eriophylla,M,c,loss
Dalea_mollis1,0.0882843,OG0019917,loss,Dalea_mollis,F,b,loss
Mimosa_aculeaticarpa,0.165366,OG0019917,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.0882843,OG0019917,loss,Mimosa_grahamii,F,a,loss
Calliandra_humilis,0.0882843,OG0019917,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.165366,OG0019917,loss,Calliandra_eriophylla,M,c,loss
Dalea_mollissima,0.165366,OG0019917,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.124791,OG0019919,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.124791,OG0019919,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.239922,OG0019919,loss,Calliandra_eriophylla,M,c,loss
Mimosa_grahamii,0.124791,OG0019919,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.239922,OG0019919,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollissima,0.239922,OG0019919,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.187515,OG0019921,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.187515,OG0019921,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.136826,OG0019921,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.136826,OG0019921,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.187515,OG0019921,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.136826,OG0019921,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.050649,OG0019923,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.050649,OG0019923,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.0556041,OG0019923,loss,Calliandra_eriophylla,M,c,loss
Mimosa_grahamii,0.050649,OG0019923,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.0556041,OG0019923,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollissima,0.0556041,OG0019923,loss,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.189905,OG0019924,loss,Calliandra_humilis,F,c,loss
Mimosa_grahamii,0.189905,OG0019924,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.154417,OG0019924,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.189905,OG0019924,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.154417,OG0019924,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.154417,OG0019924,loss,Calliandra_eriophylla,M,c,loss
Mimosa_grahamii,0.156212,OG0019928,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.603799,OG0019928,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.156212,OG0019928,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.156212,OG0019928,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.603799,OG0019928,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.603799,OG0019928,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.104654,OG0019934,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.0729014,OG0019934,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.104654,OG0019934,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.104654,OG0019934,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.0729014,OG0019934,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.0729014,OG0019934,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.0896966,OG0019937,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.137498,OG0019937,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.0896966,OG0019937,loss,Calliandra_humilis,F,c,loss
Dalea_mollissima,0.137498,OG0019937,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.0896966,OG0019937,loss,Dalea_mollis,F,b,loss
Mimosa_aculeaticarpa,0.137498,OG0019937,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.100899,OG0019942,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.237092,OG0019942,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.100899,OG0019942,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.100899,OG0019942,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.237092,OG0019942,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.237092,OG0019942,loss,Mimosa_aculeaticarpa,M,a,loss
Calliandra_humilis,0.251525,OG0019962,loss,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.232616,OG0019962,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.251525,OG0019962,loss,Mimosa_grahamii,F,a,loss
Dalea_mollis1,0.251525,OG0019962,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.232616,OG0019962,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.232616,OG0019962,loss,Calliandra_eriophylla,M,c,loss
Mimosa_grahamii,0.101488,OG0019964,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.141189,OG0019964,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.101488,OG0019964,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.101488,OG0019964,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.141189,OG0019964,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.141189,OG0019964,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.123087,OG0019966,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.123087,OG0019966,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.328506,OG0019966,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.328506,OG0019966,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.123087,OG0019966,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.328506,OG0019966,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.022112,OG0019968,loss,Dalea_mollis,F,b,loss
Calliandra_eriophylla,0.0684369,OG0019968,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.022112,OG0019968,loss,Calliandra_humilis,F,c,loss
Mimosa_grahamii,0.022112,OG0019968,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.0684369,OG0019968,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollissima,0.0684369,OG0019968,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.244299,OG0019971,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.244299,OG0019971,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.186158,OG0019971,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.186158,OG0019971,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.244299,OG0019971,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.186158,OG0019971,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.316928,OG0019972,loss,Dalea_mollis,F,b,loss
Calliandra_eriophylla,0.374234,OG0019972,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.316928,OG0019972,loss,Calliandra_humilis,F,c,loss
Mimosa_grahamii,0.316928,OG0019972,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.374234,OG0019972,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollissima,0.374234,OG0019972,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.0659297,OG0019974,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.0659297,OG0019974,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.245941,OG0019974,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.245941,OG0019974,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.0659297,OG0019974,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.245941,OG0019974,loss,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.0446352,OG0019978,loss,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.168314,OG0019978,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.0446352,OG0019978,loss,Mimosa_grahamii,F,a,loss
Dalea_mollis1,0.0446352,OG0019978,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.168314,OG0019978,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.168314,OG0019978,loss,Calliandra_eriophylla,M,c,loss
Mimosa_grahamii,0.158368,OG0019984,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.300997,OG0019984,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.158368,OG0019984,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.158368,OG0019984,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.300997,OG0019984,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.300997,OG0019984,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.159682,OG0019986,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.159682,OG0019986,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.19998,OG0019986,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.19998,OG0019986,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.159682,OG0019986,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.19998,OG0019986,loss,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.146978,OG0019992,loss,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.105794,OG0019992,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.146978,OG0019992,loss,Mimosa_grahamii,F,a,loss
Dalea_mollis1,0.146978,OG0019992,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.105794,OG0019992,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.105794,OG0019992,loss,Calliandra_eriophylla,M,c,loss
